Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
1/31/2009,-0.1065,-0.1311,0.0001356,-0.008195594,-0.005610508,-0.030758607,0.004972928
12/31/2008,-0.0843,-0.1191,4.97E-06,-0.016326202,-0.112434797,-0.09486,0.004352408
11/30/2008,0.0106,0.056578,9.22E-06,0.015966701,0.096723205,0.155986599,-0.010342537
10/31/2008,-0.0718,-0.1284004,0.000262203,0.043001396,0.144269696,0.117383601,-0.019152859
9/30/2008,-0.168,-0.2071,0.000819374,0.014584908,-0.038315104,-0.044991993,-0.010101296
8/31/2008,-0.0891,-0.0737,0.001529644,0.008470393,0.011238705,-0.086347008,-0.001383035
7/31/2008,0.0145,0.0338,0.001264755,0.010403301,0.024223203,0.012128002,-0.003991556
6/30/2008,-0.0084,0.0448,0.001526514,0.006369803,-0.002475705,-0.010923001,0.005250949
5/31/2008,-0.0843,-0.0905,0.001739407,0.007498796,0.022039606,-0.006081996,0.010077058
4/30/2008,0.013,0.0398,0.001784525,-0.008424303,-0.016431507,-0.027734002,0.008420824
3/31/2008,0.0487,0.0207,0.001757401,-0.0293412,-0.028832403,0.009107003,0.006064834
2/29/2008,-0.0043,0.0031,0.001710298,0.00732111,0.010568201,-0.005891005,0.008668201
1/31/2008,-0.0325,-0.0314,0.001325602,0.0234124,0.00184151,-0.007094994,0.002904104
12/31/2007,-0.06,-0.0765,0.002148775,0.026275995,0.021341397,0.001686993,0.004970632
11/30/2007,-0.0069,-0.0006,0.002721705,0.004841307,-0.002908102,0.002837,-0.000670892
10/31/2007,-0.0418,-0.0842,0.003410807,0.042526995,0.046797705,0.007860002,0.005939535
9/30/2007,0.0159,0.017,0.003216712,-0.004832506,0.015514201,0.008769003,0.002139189
8/31/2007,0.0374,0.0148,0.003234289,0.005728001,0.001184501,0.013545998,0.002755933
7/31/2007,0.015,0.0116,0.004179906,0.018497803,0.019859896,0.015183995,-1.83E-03
6/30/2007,-0.031,-0.0651,0.003957177,0.017451094,0.028373791,-0.003219994,-0.000254412
5/31/2007,-0.0166,-0.0033,0.00398029,0.001075806,-0.009057493,-0.014843001,0.001938037
4/30/2007,0.0349,0.0315,0.004059308,-0.010242698,-0.020017195,-0.017772002,0.006110699
3/31/2007,0.0443,0.015,0.004362329,0.004698392,0.008509393,0.014045007,0.006496167
2/28/2007,0.0112,0.0102,0.004252271,0.002431102,-0.014487704,-0.023058009,0.00910576
1/31/2007,-0.0196,-0.005,0.003837202,0.017044909,0.03345511,0.028735,0.005350371
12/31/2006,0.0151,0.0115,0.004444403,-0.001979197,-0.0102208,-0.005097998,0.003052487
11/30/2006,0.014,0.0161,0.0040341,-0.006728111,-0.0235767,-0.023168002,0.001488794
10/31/2006,0.019,0.0225,0.004230324,0.008803812,0.020748103,0.024636999,-0.001486581
9/30/2006,0.0326,0.0545,0.004058,0.005153191,0.0076977,0.012713003,-0.005421363
8/31/2006,0.0258,0.0056,0.004081202,0.007864009,0.0170457,0.018342997,-0.004904468
7/31/2006,0.0238,0.0278,0.004224251,0.013544384,0.02991459,0.036066008,0.001965608
6/30/2006,0.0062,-0.0345,0.003976901,0.012519116,0.019889801,0.023727996,0.002957131
5/31/2006,0.0014,-0.0089,0.003964232,0.002237894,0.009157497,0.003886002,0.001975315
4/30/2006,-0.0288,-0.0589,0.004310991,-0.000435809,0.000969305,-0.002032998,0.004962795
3/31/2006,0.0134,-0.0041,0.003564226,-0.000807986,-0.024666706,-0.022388007,0.00850849
2/28/2006,0.0125,0.0455,0.003667585,-0.005602303,-0.053923589,-0.040432996,0.005535956
1/31/2006,0.0027,0.0025,0.003360978,-0.00171021,0.0238318,0.012782997,0.002017243
12/31/2005,0.0265,0.0914,0.00349951,-0.003592992,-0.011760701,-0.009257997,0.007622022
11/30/2005,0.0003,0.0018,0.003160893,0.006113495,0.026688399,0.022532999,-0.004048596
10/31/2005,0.0378,0.0453,0.003140034,0.005856501,0.007601596,0.009881004,-0.008032155
9/30/2005,-0.0167,-0.0281,0.002732069,-0.006256398,-0.019625997,-0.020402007,0.002012079
8/31/2005,0.0081,0.0061,0.002855231,-0.012358098,-0.033766999,-0.031045996,0.012219999
7/31/2005,-0.0091,-0.0139,0.003017059,0.016114702,0.0332765,0.023281001,0.005117724
6/30/2005,0.0372,0.0763,0.002374699,-0.014374102,-0.028783599,-0.024405001,0.004627218
5/31/2005,0.0014,0.0452,0.002267604,0.004294292,0.016726899,0.014105996,0.000514359
4/30/2005,0.0318,0.0603,0.002389938,0.010318409,0.029673694,0.029519003,-0.001027753
3/31/2005,-0.019,-0.0622,0.002056579,0.016703088,0.037253396,0.032663999,0.006725273
2/28/2005,-0.0177,-0.0323,0.002118494,-0.003816291,-0.007160497,-0.012450999,0.007820625
1/31/2005,0.021,0.0083,0.001645283,-0.011075008,-0.012777391,-0.011160998,0.005768194
12/31/2004,-0.0244,-0.041,0.001639699,0.002644409,0.030034687,0.027658,0.002101951
11/30/2004,0.034,0.0458,0.001648624,0.006666591,0.025000905,0.025732001,-0.00366498
10/31/2004,0.0405,0.0897,0.001543107,-0.01267999,-0.023380491,-0.019989007,0.000523789
9/30/2004,0.0153,0.0184,0.001125883,0.006403386,0.015352296,0.016379999,0.005265946
8/31/2004,0.0108,0.0501,0.001147205,0.001218905,0.009628399,0.010097002,0.002110824
7/31/2004,0.004,-0.0152,0.001101888,0.01952191,0.03945749,0.039495001,0.000527937
6/30/2004,-0.0331,-0.0747,0.000967022,0.008168194,0.0155435,0.018431001,-0.001581402
5/31/2004,0.0194,0.0441,0.00083647,0.004859298,0.012132715,0.009346003,0.003172934
4/30/2004,0.0137,0,0.00060995,-0.004925206,-0.005053504,-0.007135001,0.00585113
3/31/2004,-0.0157,-0.0409,0.00079815,-0.033402093,-0.058795806,-0.053424008,0.003201718
2/29/2004,-0.0151,0.0014,0.000864897,0.009999498,0.014096599,0.011759001,0.006444704
1/31/2004,0.0139,0.005,0.00062272,0.012367509,0.022991014,0.017840006,0.005399585
12/31/2003,0.0184,0.0578,0.000694732,0.005165197,0.0187401,0.018670991,0.004883309
11/30/2003,0.0524,0.0277,0.000818571,0.0108523,0.013930795,0.013898001,-0.001084014
10/31/2003,0.0088,0.043,0.00071843,-0.001443506,0.002668594,0.005181005,-0.00270276
9/30/2003,0.0566,0.0894,0.000704691,-0.013557398,-0.028270495,-0.020257005,-1.08E-03
8/31/2003,-0.0106,0.0009,0.000849687,0.030746294,0.054645896,0.050318009,0.003250281
7/31/2003,0.0195,0.0473,0.000695491,-0.002744591,0.016630205,0.021875996,0.00380638
6/30/2003,0.0176,0.0738,0.000676394,-0.031899597,-0.098218501,-0.088129004,0.001088735
5/31/2003,0.0128,0.044,0.000982592,-0.003463102,-0.015389907,-0.014307994,0.001089824
4/30/2003,0.0527,0.1162,0.00089354,0.027271197,0.059190703,0.047074,-0.001632165
3/31/2003,0.0824,0.0928,0.000978271,0.001332197,0.010177505,0.022947999,-0.002171559
2/28/2003,0.0097,0.0111,0.001008494,-0.0007,-0.013519599,-0.007992999,0.006007517
1/31/2003,-0.015,-0.0288,0.00086929,0.017891011,0.032935602,0.026358003,0.007705031
12/31/2002,-0.0262,-0.0223,0.000971794,-0.008899802,-0.010616599,0.002076991,0.004422346
11/30/2002,-0.0588,-0.0429,0.001129933,0.027896288,0.050717189,0.036110007,-0.002206295
10/31/2002,0.0589,0.0836,0.001171682,-0.0169455,-0.012159899,0.010303001,0
9/30/2002,0.088,0.0257,0.001358101,-0.002410001,-0.029390102,-0.023971006,0.001657414
8/31/2002,-0.1087,-0.0674,0.001438197,0.0288267,0.041674501,0.032975999,0.001660265
7/31/2002,0.0066,-0.0057,0.001388141,0.016686099,0.046353697,0.045200001,0.003331493
6/30/2002,-0.0779,-0.1448,0.001546571,0.027167902,0.030300207,0.009358,0.001111732
5/31/2002,-0.0712,-0.0356,0.001295194,0.016872313,0.018732906,0.007292999,0.000556125
